stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
890427,,Clayton St,,-19.284985,146.802826,,,0,
890428,,Ahearne St,,-19.281307,146.807144,,,0,
890429,,First Ave,,-19.278429,146.812485,,,0,
890430,,Queens Rd (Railway Crossing),,-19.277937,146.815094,,,0,
890431,,Hermit Park,,-19.277664,146.800293,,,0,
890432,,Bayswater Tce,,-19.281439,146.798752,,,0,
890433,,Soule St,,-19.283808,146.79776,,,0,
890434,,Townsend St,,-19.286182,146.797211,,,0,
890435,,Jameson St,,-19.288624,146.796829,,,0,
890436,,Mabin St,,-19.293669,146.792587,,,0,
890437,,China St,,-19.294247,146.791168,,,0,
890438,,Mundingburra State School,,-19.294857,146.789734,,,0,
890439,,Briarfield St,,-19.295294,146.787018,,,0,
890440,,Mango Ave,,-19.295277,146.783737,,,0,
890441,,Ross River Rd / Gulliver St,,-19.29546,146.780746,,,0,
890442,,Cathedral School,,-19.29599,146.77829,,,0,
890443,,Crete St,,-19.296768,146.773956,,,0,
890444,,Charlotte St,,-19.296385,146.770645,,,0,
890446,,Cranbrae Village,,-19.299002,146.758514,,,0,
890447,,Ignatius Park College,,-19.300163,146.756134,,,0,
890448,,Killara St,,-19.303442,146.75325,,,0,
890449,,Alice St,,-19.307377,146.7509,,,0,
890450,,Louise St,,-19.310806,146.747269,,,0,
890451,,Forest Ave,,-19.313328,146.742935,,,0,
890452,,Malbon Rd,,-19.307402,146.738235,,,0,
890453,,Kirwan State High School,,-19.309044,146.734253,,,0,
890455,,High Range Dr,,-19.320276,146.724426,,,0,
890456,,Sunland Plaza,,-19.319853,146.726898,,,0,
890457,,Gregory St (Condon),,-19.323444,146.727692,,,0,
890458,,Gouldian / Lorikeet,,-19.332127,146.724701,,,0,
890459,,Bellbird St,,-19.332102,146.721176,,,0,
890460,,Eider Ct,,-19.33205,146.716782,,,0,
890461,,Carlyle Gardens,,-19.331493,146.714783,,,0,
890462,,Bellbird St,,-19.331985,146.721069,,,0,
890463,,Falcon Cr,,-19.334145,146.723312,,,0,
890464,,Jabiru Park,,-19.334093,146.720306,,,0,
890465,,Thuringowa State High School,,-19.336626,146.719406,,,0,
890466,,Gollogly / Vickers,,-19.339794,146.71962,,,0,
890467,,Mallee St,,-19.340176,146.723862,,,0,
890468,,Pinnacle Dr,,-19.340343,146.725693,,,0,
890469,,Dollview Ave,,-19.346573,146.729095,,,0,
890470,,Santal Dr,,-19.354532,146.732361,,,0,
890471,,Riverway Dr (Rasmussen),,-19.362898,146.731888,,,0,
890472,,Riverway / Allambie,,-19.367487,146.731445,,,0,
890474,,Bassano Way,,-19.37454,146.730301,,,0,
890475,,Yut Fay Ave,,-19.376551,146.730316,,,0,
890476,,Hammond Way,,-19.379963,146.730453,,,0,
890477,,Clint St,,-19.384644,146.730484,,,0,
890478,,Yvette St,,-19.389067,146.730087,,,0,
890479,,Dunlop St (Kelso),,-19.393749,146.729385,,,0,
890489,,Dunlop St (Kelso),,-19.393431,146.729218,,,0,
890490,,Yvette St,,-19.388292,146.729935,,,0,
890491,,Jennifer St,,-19.386101,146.730148,,,0,
890492,,Clint St,,-19.384691,146.73024,,,0,
890493,,Hammond Way,,-19.379852,146.73027,,,0,
890494,,Yut Fay Ave,,-19.376888,146.730179,,,0,
890495,,Bassano Way,,-19.37347,146.730164,,,0,
890496,,Rosewood Ave,,-19.370863,146.730438,,,0,
890497,,Riverway / Allambie,,-19.364838,146.731766,,,0,
890498,,Riverway Dr (Rasmussen),,-19.361925,146.731766,,,0,
890547,,Coral Coast Tourist Park,,-19.26252,146.748322,,,0,
890548,,Coconut Glen Van Village,,-19.261787,146.714371,,,0,
