service_id,date,exception_type
GOOGLE-MAHV_MUL-Weekday-03,20131205,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131205,2
GOOGLE-MAHV_MUL-Weekday-03,20131206,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131206,2
GOOGLE-MAHV_MUL-Weekday-03,20131209,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131209,2
GOOGLE-MAHV_MUL-Weekday-03,20131210,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131210,2
GOOGLE-MAHV_MUL-Weekday-03,20131211,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131211,2
GOOGLE-MAHV_MUL-Weekday-03,20131212,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131212,2
GOOGLE-MAHV_MUL-Weekday-03,20131225,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131225,2
GOOGLE-MAHV_MUL-Weekday-03,20131226,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131226,2
